,index,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,2749,,,,,,,,,,,,
1,3454,,,,,,,,,,,,
2,4622,,,,,,,,,,,,
3,3247,,,,,,,,,,,,
4,2815,,,,,,,,,,,,
5,4323,,,,,,,,,,,,
6,3176,,,,,,,,,,,,
7,2098,,,,,,,,,,,,
8,2351,,,,,,,,,,,,
9,3293,,,,,,,,,,,,
10,1218,8.2,0.4,0.31,1.9,0.08199999999999999,8.0,24.0,0.996,3.24,0.69,10.6,6.0
11,2848,,,,,,,,,,,,
12,1992,,,,,,,,,,,,
13,3416,,,,,,,,,,,,
14,1433,6.1,0.4,0.16,1.8,0.069,11.0,25.0,0.9955,3.42,0.74,10.1,7.0
15,3600,,,,,,,,,,,,
16,1195,6.2,0.43,0.22,1.8,0.078,21.0,56.0,0.9963299999999999,3.52,0.6,9.5,6.0
17,2443,,,,,,,,,,,,
18,638,7.7,0.915,0.12,2.2,0.14300000000000002,7.0,23.0,0.9964,3.35,0.65,10.2,7.0
19,3081,,,,,,,,,,,,
20,1904,,,,,,,,,,,,
21,4646,,,,,,,,,,,,
22,2327,,,,,,,,,,,,
23,1245,7.4,0.55,0.19,1.8,0.08199999999999999,15.0,34.0,0.99655,3.49,0.68,10.5,5.0
24,2998,,,,,,,,,,,,
25,3191,,,,,,,,,,,,
26,4771,,,,,,,,,,,,
27,3843,,,,,,,,,,,,
28,195,7.8,0.59,0.33,2.0,0.07400000000000001,24.0,120.0,0.9968,3.25,0.54,9.4,5.0
29,4031,,,,,,,,,,,,
30,2188,,,,,,,,,,,,
31,2009,,,,,,,,,,,,
32,670,6.9,0.4,0.24,2.5,0.083,30.0,45.0,0.9959,3.26,0.58,10.0,5.0
33,2227,,,,,,,,,,,,
34,1237,7.1,0.75,0.01,2.2,0.059000000000000004,11.0,18.0,0.9924200000000001,3.39,0.4,12.8,6.0
35,523,9.3,0.4,0.49,2.5,0.085,38.0,142.0,0.9978,3.22,0.55,9.4,5.0
36,4565,,,,,,,,,,,,
